January,,,,,,,,,,,,,,,,,,,Member Type,Avg_Length,Count
,,Column Labels,,,,,,,,,,,,,,,,,Casual,0:20:32,1997288
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,Member,0:11:57,3542512
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:13:00,2273,0:13:25,2311,0:15:35,2660,0:15:33,4666,0:14:02,4673,0:12:54,3919,0:17:43,3651,0:14:43,24153,,,41.82725803,1545224
,member,0:10:32,9112,0:09:12,14090,0:10:27,16045,0:09:52,21130,0:10:06,23949,0:10:02,17662,0:10:36,12548,0:10:04,114536,,,,
,Grand Total,0:11:01,11385,0:09:47,16401,0:11:11,18705,0:10:54,25796,0:10:45,28622,0:10:33,21581,0:12:12,16199,0:10:53,138689,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:18:53,3493,0:14:37,3403,0:14:15,3685,0:11:16,3189,0:12:51,3754,0:15:12,4519,0:15:01,3502,0:14:38,25545,,,,
,member,0:10:53,11437,0:09:44,18150,0:10:08,19570,0:09:35,17003,0:09:46,18143,0:10:15,17299,0:10:42,11539,0:10:05,113141,,,,
,Grand Total,0:12:45,14930,0:10:30,21553,0:10:47,23255,0:09:51,20192,0:10:18,21897,0:11:17,21818,0:11:42,15041,0:10:55,138686,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
